function,gamma,x0,delay,round,test,score,passed
siphash,65175.07807956198,4611.669236635729,27396794.545091677,0,Monobit,0.22492952429355856,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,0,Frequency Within Block,0.4319347860691363,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,0,Runs,1.6913660082944042e-11,False
siphash,65175.07807956198,4611.669236635729,27396794.545091677,0,Longest Run Ones In A Block,0.4381767525683019,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,0,Non Overlapping Template Matching,0.9999999997720002,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,0,Random Excursion,0.9709603488313201,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,1,Monobit,0.9157897066175451,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,1,Frequency Within Block,0.3508472579624451,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,1,Runs,0.08463132498754172,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,1,Longest Run Ones In A Block,0.4133988362763528,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,1,Non Overlapping Template Matching,1.0,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,1,Random Excursion,0.7549490872383465,False
siphash,65175.07807956198,4611.669236635729,27396794.545091677,2,Monobit,0.31251808257563907,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,2,Frequency Within Block,0.013903166292513404,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,2,Runs,0.873191354216828,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,2,Longest Run Ones In A Block,0.6930526757726259,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,2,Non Overlapping Template Matching,0.9999999999999998,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,2,Random Excursion,0.9709603488313201,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,3,Monobit,0.8588186957821996,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,3,Frequency Within Block,0.20777766037497014,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,3,Runs,0.061249678466654085,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,3,Longest Run Ones In A Block,0.8945289605239128,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,3,Non Overlapping Template Matching,0.9999999999968029,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,3,Random Excursion,0.9567841996075861,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,4,Monobit,0.17452621217371084,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,4,Frequency Within Block,0.19687553265188024,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,4,Runs,0.3448357466438367,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,4,Longest Run Ones In A Block,0.2056042407671349,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,4,Non Overlapping Template Matching,1.0,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,4,Random Excursion,0.9709603488313201,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,5,Monobit,0.8371439625943169,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,5,Frequency Within Block,0.270121023536815,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,5,Runs,0.4361377444263038,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,5,Longest Run Ones In A Block,0.6113883338559389,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,5,Non Overlapping Template Matching,0.9999999999999989,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,5,Random Excursion,0.9567841996075861,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,6,Monobit,0.2649777685174548,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,6,Frequency Within Block,0.33217690971510166,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,6,Runs,0.9476992739826551,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,6,Longest Run Ones In A Block,0.3945404945995057,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,6,Non Overlapping Template Matching,0.9999999999999096,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,6,Random Excursion,0.878695388450189,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,7,Monobit,0.5053761173351452,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,7,Frequency Within Block,0.4631736987017491,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,7,Runs,0.6255799682474361,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,7,Longest Run Ones In A Block,0.366054590570912,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,7,Non Overlapping Template Matching,0.9999999999999999,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,7,Random Excursion,0.9567841996075861,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,8,Monobit,0.9779254072782688,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,8,Frequency Within Block,0.06471978012639408,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,8,Runs,0.48971659767290937,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,8,Longest Run Ones In A Block,0.9297855260333382,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,8,Non Overlapping Template Matching,1.0,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,8,Random Excursion,0.9567841996075861,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,9,Monobit,0.5492686936044151,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,9,Frequency Within Block,0.8931076291462533,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,9,Runs,0.1755255082212904,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,9,Longest Run Ones In A Block,0.5665194885005402,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,9,Non Overlapping Template Matching,0.9999999999999998,True
siphash,65175.07807956198,4611.669236635729,27396794.545091677,9,Random Excursion,0.9567841996075861,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,0,Monobit,2.8670888589247137e-32,False
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,0,Frequency Within Block,1.0984648792681145e-11,False
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,0,Runs,1.5516345456539914e-50,False
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,0,Longest Run Ones In A Block,0.238007374179449,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,0,Non Overlapping Template Matching,0.999999999926157,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,0,Random Excursion,0.7549490872383465,False
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,1,Monobit,0.5651971249857014,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,1,Frequency Within Block,0.2216453025285166,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,1,Runs,0.277968974755542,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,1,Longest Run Ones In A Block,0.7658756650238242,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,1,Non Overlapping Template Matching,0.9999999999999996,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,1,Random Excursion,0.9567841996075861,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,2,Monobit,0.25701319757819774,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,2,Frequency Within Block,0.9503418595649747,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,2,Runs,0.21005787509862045,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,2,Longest Run Ones In A Block,0.9499427677913918,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,2,Non Overlapping Template Matching,0.9999999999999999,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,2,Random Excursion,0.878695388450189,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,3,Monobit,0.4367325292932496,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,3,Frequency Within Block,0.5553299273725814,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,3,Runs,0.16842923556279443,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,3,Longest Run Ones In A Block,0.4381760814082011,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,3,Non Overlapping Template Matching,1.0,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,3,Random Excursion,0.9567841996075861,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,4,Monobit,0.1947916290247686,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,4,Frequency Within Block,0.22699592352797127,True
fast_mix,65175.07807956198,4611.669236635729,27396794.545091677,4,Runs,0.11654578678578154,True
