function,gamma,x0,delay,pools,round,test,score,passed
siphash,444592,-2986,572059897,100000,0,Monobit,0.6906153695319706,True
siphash,444592,-2986,572059897,100000,0,Frequency Within Block,0.4955671496486834,True
siphash,444592,-2986,572059897,100000,0,Runs,0.10693658387207694,True
siphash,444592,-2986,572059897,100000,0,Longest Run Ones In A Block,0.8113740387221996,True
siphash,444592,-2986,572059897,100000,0,Discrete Fourier Transform,0.9427463621855644,True
siphash,444592,-2986,572059897,100000,0,Cumulative Sums,0.5736174035865865,True
siphash,444592,-2986,572059897,100000,0,Random Excursion Variant,0.42945050981990607,True
siphash,444592,-2986,572059897,100000,1,Monobit,0.901234694559474,True
siphash,444592,-2986,572059897,100000,1,Frequency Within Block,0.6461780962749545,True
siphash,444592,-2986,572059897,100000,1,Runs,0.05295248248953081,True
siphash,444592,-2986,572059897,100000,1,Longest Run Ones In A Block,0.10259729027011057,True
siphash,444592,-2986,572059897,100000,1,Discrete Fourier Transform,0.7778330601009424,True
siphash,444592,-2986,572059897,100000,1,Cumulative Sums,0.4967547566698982,True
siphash,444592,-2986,572059897,100000,1,Random Excursion Variant,0.8058027312148586,True
siphash,444592,-2986,572059897,100000,2,Monobit,0.06688325720466089,True
siphash,444592,-2986,572059897,100000,2,Frequency Within Block,0.0942936114633965,True
siphash,444592,-2986,572059897,100000,2,Runs,0.7675965028481204,True
siphash,444592,-2986,572059897,100000,2,Longest Run Ones In A Block,0.6894700913554271,True
siphash,444592,-2986,572059897,100000,2,Discrete Fourier Transform,0.9264294566216666,True
siphash,444592,-2986,572059897,100000,2,Cumulative Sums,0.08367788686003241,True
siphash,444592,-2986,572059897,100000,2,Random Excursion Variant,0.22986851787205356,True
siphash,444592,-2986,572059897,100000,3,Monobit,0.11086517105675364,True
siphash,444592,-2986,572059897,100000,3,Frequency Within Block,0.43862873268216973,True
siphash,444592,-2986,572059897,100000,3,Runs,0.9103329209468081,True
siphash,444592,-2986,572059897,100000,3,Longest Run Ones In A Block,0.13423178580954923,True
siphash,444592,-2986,572059897,100000,3,Discrete Fourier Transform,0.4385679855916382,True
siphash,444592,-2986,572059897,100000,3,Cumulative Sums,0.1805072651187246,True
siphash,444592,-2986,572059897,100000,3,Random Excursion Variant,0.49148141175469223,True
siphash,444592,-2986,572059897,100000,4,Monobit,0.160910880393853,True
siphash,444592,-2986,572059897,100000,4,Frequency Within Block,0.7680451558562271,True
siphash,444592,-2986,572059897,100000,4,Runs,0.1504874609985081,True
siphash,444592,-2986,572059897,100000,4,Longest Run Ones In A Block,0.09115861327853038,True
siphash,444592,-2986,572059897,100000,4,Discrete Fourier Transform,0.0488523043839794,True
siphash,444592,-2986,572059897,100000,4,Cumulative Sums,0.17860304860008291,True
siphash,444592,-2986,572059897,100000,4,Random Excursion Variant,0.8469499757696914,True
siphash,444592,-2986,572059897,100000,5,Monobit,0.18819887956101777,True
siphash,444592,-2986,572059897,100000,5,Frequency Within Block,0.14582592304855013,True
siphash,444592,-2986,572059897,100000,5,Runs,0.8473881978381947,True
siphash,444592,-2986,572059897,100000,5,Longest Run Ones In A Block,0.7926574963967122,True
siphash,444592,-2986,572059897,100000,5,Discrete Fourier Transform,0.180602660065789,True
siphash,444592,-2986,572059897,100000,5,Cumulative Sums,0.09189353148656765,True
siphash,444592,-2986,572059897,100000,5,Random Excursion Variant,0.4506263657950964,True
siphash,444592,-2986,572059897,100000,6,Monobit,0.7021887013888972,True
siphash,444592,-2986,572059897,100000,6,Frequency Within Block,0.6220308754986752,True
siphash,444592,-2986,572059897,100000,6,Runs,0.3844377234984985,True
siphash,444592,-2986,572059897,100000,6,Longest Run Ones In A Block,0.6332997527578017,True
siphash,444592,-2986,572059897,100000,6,Discrete Fourier Transform,0.9305060533864724,True
siphash,444592,-2986,572059897,100000,6,Cumulative Sums,0.8542990984598735,True
siphash,444592,-2986,572059897,100000,6,Random Excursion Variant,0.49566408343794305,True
