function,gamma,x0,delay,pools,round,test,score,passed
siphash,444592,-2986,572059897,100000,0,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,0,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,0,Runs,0.0,False
siphash,444592,-2986,572059897,100000,0,Longest Run Ones In A Block,0.05204374357687916,True
siphash,444592,-2986,572059897,100000,0,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,0,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,0,Random Excursion Variant,0.3699333156402439,False
siphash,444592,-2986,572059897,100000,1,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,1,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,1,Runs,3.699204141334084e-304,False
siphash,444592,-2986,572059897,100000,1,Longest Run Ones In A Block,0.7688551373519061,True
siphash,444592,-2986,572059897,100000,1,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,1,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,1,Random Excursion Variant,0.8643059162844726,False
siphash,444592,-2986,572059897,100000,2,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,2,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,2,Runs,2.178758542857304e-309,False
siphash,444592,-2986,572059897,100000,2,Longest Run Ones In A Block,0.7505768733414285,True
siphash,444592,-2986,572059897,100000,2,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,2,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,2,Random Excursion Variant,0.16449040216876684,False
siphash,444592,-2986,572059897,100000,3,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,3,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,3,Runs,5.5903765539681846e-303,False
siphash,444592,-2986,572059897,100000,3,Longest Run Ones In A Block,0.9259993129665237,True
siphash,444592,-2986,572059897,100000,3,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,3,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,3,Random Excursion Variant,0.3224259294121355,False
siphash,444592,-2986,572059897,100000,4,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,4,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,4,Runs,6.119136813612324e-304,False
siphash,444592,-2986,572059897,100000,4,Longest Run Ones In A Block,0.026257558563288395,True
siphash,444592,-2986,572059897,100000,4,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,4,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,4,Random Excursion Variant,0.29057197331868667,False
siphash,444592,-2986,572059897,100000,5,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,5,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,5,Runs,9.494954306199e-311,False
siphash,444592,-2986,572059897,100000,5,Longest Run Ones In A Block,0.4672531156753168,True
siphash,444592,-2986,572059897,100000,5,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,5,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,5,Random Excursion Variant,0.3546599531665884,False
siphash,444592,-2986,572059897,100000,6,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,6,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,6,Runs,5.647030188100704e-295,False
siphash,444592,-2986,572059897,100000,6,Longest Run Ones In A Block,0.175081052462403,True
siphash,444592,-2986,572059897,100000,6,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,6,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,6,Random Excursion Variant,0.5205598923533592,True
siphash,444592,-2986,572059897,100000,7,Monobit,0.0,False
siphash,444592,-2986,572059897,100000,7,Frequency Within Block,0.0,False
siphash,444592,-2986,572059897,100000,7,Runs,0.0,False
siphash,444592,-2986,572059897,100000,7,Longest Run Ones In A Block,0.2971465732632806,True
siphash,444592,-2986,572059897,100000,7,Discrete Fourier Transform,0.0,False
siphash,444592,-2986,572059897,100000,7,Cumulative Sums,0.0,False
siphash,444592,-2986,572059897,100000,7,Random Excursion Variant,0.2761582963727731,False
rot1,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,0,Runs,0.0,False
rot1,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,3.2516125511704874e-11,False
rot1,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,0,Random Excursion Variant,0.0,False
rot1,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,1,Runs,0.0,False
rot1,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,3.3578796164734715e-05,False
rot1,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,1,Random Excursion Variant,0.0,False
rot1,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,2,Runs,0.0,False
rot1,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,9.339720668329885e-09,False
rot1,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,2,Random Excursion Variant,0.0,False
rot1,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,3,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,3,Runs,0.0,False
rot1,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,0.006661553669732129,False
rot1,444592,-2986,572059897,400000,3,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,3,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,3,Random Excursion Variant,0.0,False
rot1,444592,-2986,572059897,400000,4,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,4,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,4,Runs,0.0,False
rot1,444592,-2986,572059897,400000,4,Longest Run Ones In A Block,0.0001871609775432298,False
rot1,444592,-2986,572059897,400000,4,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,4,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,4,Random Excursion Variant,0.0,False
rot1,444592,-2986,572059897,400000,5,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,5,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,5,Runs,0.0,False
rot1,444592,-2986,572059897,400000,5,Longest Run Ones In A Block,1.3793060365241964e-08,False
rot1,444592,-2986,572059897,400000,5,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,5,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,5,Random Excursion Variant,0.0,False
rot1,444592,-2986,572059897,400000,6,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,6,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,6,Runs,0.0,False
rot1,444592,-2986,572059897,400000,6,Longest Run Ones In A Block,1.6465927862682877e-06,False
rot1,444592,-2986,572059897,400000,6,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,6,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,6,Random Excursion Variant,0.0,False
rot1,444592,-2986,572059897,400000,7,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,7,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,7,Runs,0.0,False
rot1,444592,-2986,572059897,400000,7,Longest Run Ones In A Block,0.0007737540364588224,False
rot1,444592,-2986,572059897,400000,7,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,7,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,7,Random Excursion Variant,0.0,False
rot2,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,0,Runs,0.0,False
rot2,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,6.299913155726532e-10,False
rot2,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,0,Random Excursion Variant,0.0,False
rot2,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,1,Runs,0.0,False
rot2,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,3.322541339475329e-06,False
rot2,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,1,Random Excursion Variant,0.0,False
rot2,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,2,Runs,0.0,False
rot2,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,4.832169349691352e-08,False
rot2,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,2,Random Excursion Variant,0.0,False
rot2,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,3,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,3,Runs,0.0,False
rot2,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,1.3198063654170845e-05,False
rot2,444592,-2986,572059897,400000,3,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,3,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,3,Random Excursion Variant,0.0,False
rot2,444592,-2986,572059897,400000,4,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,4,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,4,Runs,0.0,False
rot2,444592,-2986,572059897,400000,4,Longest Run Ones In A Block,0.16001219239928277,True
rot2,444592,-2986,572059897,400000,4,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,4,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,4,Random Excursion Variant,0.0,False
rot2,444592,-2986,572059897,400000,5,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,5,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,5,Runs,0.0,False
rot2,444592,-2986,572059897,400000,5,Longest Run Ones In A Block,0.03156407954630981,True
rot2,444592,-2986,572059897,400000,5,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,5,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,5,Random Excursion Variant,0.0,False
rot2,444592,-2986,572059897,400000,6,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,6,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,6,Runs,0.0,False
rot2,444592,-2986,572059897,400000,6,Longest Run Ones In A Block,0.19991778399063254,True
rot2,444592,-2986,572059897,400000,6,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,6,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,6,Random Excursion Variant,0.1508267594184526,False
rot2,444592,-2986,572059897,400000,7,Monobit,0.0,False
rot2,444592,-2986,572059897,400000,7,Frequency Within Block,0.0,False
rot2,444592,-2986,572059897,400000,7,Runs,0.0,False
rot2,444592,-2986,572059897,400000,7,Longest Run Ones In A Block,0.06410575573145398,True
rot2,444592,-2986,572059897,400000,7,Discrete Fourier Transform,0.0,False
rot2,444592,-2986,572059897,400000,7,Cumulative Sums,0.0,False
rot2,444592,-2986,572059897,400000,7,Random Excursion Variant,0.19324061184095767,False
rot3,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,0,Runs,0.0,False
rot3,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,1.451480714097962e-05,False
rot3,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,0,Random Excursion Variant,0.0,False
rot3,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,1,Runs,0.0,False
rot3,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,1.679249592787558e-11,False
rot3,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,1,Random Excursion Variant,0.0,False
rot3,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,2,Runs,0.0,False
rot3,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,8.545193557590906e-06,False
rot3,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,2,Random Excursion Variant,0.0,False
rot3,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,3,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,3,Runs,0.0,False
rot3,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,2.3458235846005443e-06,False
rot3,444592,-2986,572059897,400000,3,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,3,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,3,Random Excursion Variant,0.0,False
rot3,444592,-2986,572059897,400000,4,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,4,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,4,Runs,0.0,False
rot3,444592,-2986,572059897,400000,4,Longest Run Ones In A Block,1.59092898020723e-07,False
rot3,444592,-2986,572059897,400000,4,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,4,Cumulative Sums,0.0,False
rot3,444592,-2986,572059897,400000,4,Random Excursion Variant,0.0,False
rot3,444592,-2986,572059897,400000,5,Monobit,0.0,False
rot3,444592,-2986,572059897,400000,5,Frequency Within Block,0.0,False
rot3,444592,-2986,572059897,400000,5,Runs,0.0,False
rot3,444592,-2986,572059897,400000,5,Longest Run Ones In A Block,0.042084151718124706,True
rot3,444592,-2986,572059897,400000,5,Discrete Fourier Transform,0.0,False
rot3,444592,-2986,572059897,400000,5,Cumulative Sums,0.0,False
