function,gamma,x0,delay,pools,round,test,score,passed
siphash,444592,-2986,572059897,100000,0,Monobit,0.24995570551226126,True
siphash,444592,-2986,572059897,100000,0,Frequency Within Block,0.4731839106120835,True
siphash,444592,-2986,572059897,100000,0,Runs,0.5789471689692228,True
siphash,444592,-2986,572059897,100000,0,Longest Run Ones In A Block,0.12190896777071249,True
siphash,444592,-2986,572059897,100000,0,Discrete Fourier Transform,0.48218340695691825,True
siphash,444592,-2986,572059897,100000,0,Cumulative Sums,0.3430691548676329,True
siphash,444592,-2986,572059897,100000,0,Random Excursion Variant,0.39001403848008354,True
siphash,444592,-2986,572059897,100000,1,Monobit,0.3251794800983279,True
siphash,444592,-2986,572059897,100000,1,Frequency Within Block,0.4253304266272688,True
siphash,444592,-2986,572059897,100000,1,Runs,0.6680803852189169,True
siphash,444592,-2986,572059897,100000,1,Longest Run Ones In A Block,0.28833187009747535,True
siphash,444592,-2986,572059897,100000,1,Discrete Fourier Transform,0.7156920047923919,True
siphash,444592,-2986,572059897,100000,1,Cumulative Sums,0.39258413277524273,True
siphash,444592,-2986,572059897,100000,1,Random Excursion Variant,0.5531556552589793,True
siphash,444592,-2986,572059897,100000,2,Monobit,0.9482966386073828,True
siphash,444592,-2986,572059897,100000,2,Frequency Within Block,0.07762147121855204,True
siphash,444592,-2986,572059897,100000,2,Runs,0.42796210117595773,True
siphash,444592,-2986,572059897,100000,2,Longest Run Ones In A Block,0.4403699812029661,True
siphash,444592,-2986,572059897,100000,2,Discrete Fourier Transform,0.5449615935417942,True
siphash,444592,-2986,572059897,100000,2,Cumulative Sums,0.5772619753852197,True
siphash,444592,-2986,572059897,100000,2,Random Excursion Variant,0.3417731792220808,True
siphash,444592,-2986,572059897,100000,3,Monobit,0.5519811238930336,True
siphash,444592,-2986,572059897,100000,3,Frequency Within Block,0.8901392261724064,True
siphash,444592,-2986,572059897,100000,3,Runs,0.801230098465567,True
siphash,444592,-2986,572059897,100000,3,Longest Run Ones In A Block,0.4563307059051781,True
siphash,444592,-2986,572059897,100000,3,Discrete Fourier Transform,0.34000272575143065,True
siphash,444592,-2986,572059897,100000,3,Cumulative Sums,0.4977762208263512,True
siphash,444592,-2986,572059897,100000,3,Random Excursion Variant,0.30434386898691934,False
siphash,444592,-2986,572059897,100000,4,Monobit,0.011696644392483692,True
siphash,444592,-2986,572059897,100000,4,Frequency Within Block,0.03273743589644511,True
siphash,444592,-2986,572059897,100000,4,Runs,0.435702664068423,True
siphash,444592,-2986,572059897,100000,4,Longest Run Ones In A Block,0.11450196727422995,True
siphash,444592,-2986,572059897,100000,4,Discrete Fourier Transform,0.2590766607023546,True
siphash,444592,-2986,572059897,100000,4,Cumulative Sums,0.016446550137881655,True
siphash,444592,-2986,572059897,100000,4,Random Excursion Variant,0.5048750018221715,True
siphash,444592,-2986,572059897,100000,5,Monobit,0.9598741361990344,True
siphash,444592,-2986,572059897,100000,5,Frequency Within Block,0.4248749752031015,True
siphash,444592,-2986,572059897,100000,5,Runs,0.6579537739535539,True
siphash,444592,-2986,572059897,100000,5,Longest Run Ones In A Block,0.5027416117836645,True
siphash,444592,-2986,572059897,100000,5,Discrete Fourier Transform,0.9427463621855644,True
siphash,444592,-2986,572059897,100000,5,Cumulative Sums,0.7898143425290477,True
siphash,444592,-2986,572059897,100000,5,Random Excursion Variant,0.1892456242092885,False
siphash,444592,-2986,572059897,100000,6,Monobit,0.41440587942483104,True
siphash,444592,-2986,572059897,100000,6,Frequency Within Block,0.6847277590446552,True
siphash,444592,-2986,572059897,100000,6,Runs,0.4002728081050039,True
siphash,444592,-2986,572059897,100000,6,Longest Run Ones In A Block,0.27048914632445314,True
siphash,444592,-2986,572059897,100000,6,Discrete Fourier Transform,0.829412239048563,True
siphash,444592,-2986,572059897,100000,6,Cumulative Sums,0.4426136590256231,True
siphash,444592,-2986,572059897,100000,6,Random Excursion Variant,0.816941351261351,True
siphash,444592,-2986,572059897,100000,7,Monobit,0.4150455346229964,True
siphash,444592,-2986,572059897,100000,7,Frequency Within Block,0.5838526007654521,True
siphash,444592,-2986,572059897,100000,7,Runs,0.6083493794620932,True
siphash,444592,-2986,572059897,100000,7,Longest Run Ones In A Block,0.1422825108147067,True
siphash,444592,-2986,572059897,100000,7,Discrete Fourier Transform,0.07422850375651958,True
siphash,444592,-2986,572059897,100000,7,Cumulative Sums,0.38924984340482893,True
siphash,444592,-2986,572059897,100000,7,Random Excursion Variant,0.5795650352652534,True
rot1,444592,-2986,572059897,400000,0,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,0,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,0,Runs,3.9386244295048575e-173,False
rot1,444592,-2986,572059897,400000,0,Longest Run Ones In A Block,9.297683435904378e-14,False
rot1,444592,-2986,572059897,400000,0,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,0,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,0,Random Excursion Variant,0.27852427447653066,True
rot1,444592,-2986,572059897,400000,1,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,1,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,1,Runs,4.9306337274657e-177,False
rot1,444592,-2986,572059897,400000,1,Longest Run Ones In A Block,3.2746412530841405e-164,False
rot1,444592,-2986,572059897,400000,1,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,1,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,1,Random Excursion Variant,0.3055983097004861,False
rot1,444592,-2986,572059897,400000,2,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,2,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,2,Runs,6.909171368592338e-92,False
rot1,444592,-2986,572059897,400000,2,Longest Run Ones In A Block,2.7976014486396754e-12,False
rot1,444592,-2986,572059897,400000,2,Discrete Fourier Transform,0.0,False
rot1,444592,-2986,572059897,400000,2,Cumulative Sums,0.0,False
rot1,444592,-2986,572059897,400000,2,Random Excursion Variant,0.4705556987299322,True
rot1,444592,-2986,572059897,400000,3,Monobit,0.0,False
rot1,444592,-2986,572059897,400000,3,Frequency Within Block,0.0,False
rot1,444592,-2986,572059897,400000,3,Runs,2.1538393056606494e-12,False
rot1,444592,-2986,572059897,400000,3,Longest Run Ones In A Block,4.457817528491984e-09,False
rot1,444592,-2986,572059897,400000,3,Discrete Fourier Transform,0.0,False
