time,bit_size,delta_scale,delta_location,function,round,entropy,min_entropy,kl_divergence,statistical_distance
65.31s,32,444592,-2986,data_distrib,0,1.1798857,0.4512866,30.817047,0.5019531
2894.41s,32,444592,-2986,T1,1,6.4076815,4.4212637,9.209398,0.46799085
3002.59s,32,444592,-2986,T5,5,10.283115,8.31844,4.249366,0.39609456
3273.31s,32,444592,-2986,T3,3,8.978638,6.9986644,6.3965034,0.42458406
3642.37s,32,444592,-2986,T2,2,7.9891562,5.999327,7.637385,0.44374835
3853.97s,32,444592,-2986,T6,6,10.755946,8.801184,4,0.37025
4032.52s,32,444592,-2986,T4,4,9.70992,7.7332706,5.310605,0.39149398
4435.48s,32,444592,-2986,T7,7,11.15722,9.216763,4,0.25
4711.51s,32,444592,-2986,T8,8,11.504808,9.57627,3.9022422,0.25
5034.62s,32,444592,-2986,rot_1,1,6.407681,4.4212637,9.209401,0.46799088
5035.48s,32,444592,-2986,rot_17,1,6.407681,4.4212637,9.209401,0.46799088
5037.08s,32,444592,-2986,rot_25,1,6.407681,4.4212637,9.209401,0.46799088
5898.78s,32,444592,-2986,rot_1,2,9.803352,7.091827,5,0.32494047
6034.90s,32,444592,-2986,rot_25,2,15.363119,13.988842,0.0625,0.0078125
6274.96s,32,444592,-2986,rot_17,2,16,15.999999,0.00000011920929,0.00000011920929
6772.04s,32,444592,-2986,rot_1,3,11.511166,8.692752,2,0.2057936
7004.85s,32,444592,-2986,rot_25,3,16,16,-0.000000010971171,0.000000059604645
7525.71s,32,444592,-2986,rot_17,3,16,16,0,0.0000000009313226
7622.09s,32,444592,-2986,rot_1,4,12.817306,10.061848,2,0.125
7987.51s,32,444592,-2986,rot_25,4,15.999999,16,0,0.0000000004656613
8473.35s,32,444592,-2986,rot_1,5,13.430857,11.087414,1,0.0625
8766.74s,32,444592,-2986,rot_17,4,15.999999,16,0,0.00000000011641532
8961.22s,32,444592,-2986,rot_25,5,15.999999,16,0,0.0000000009313226
9342.26s,32,444592,-2986,rot_1,6,13.895954,11.966308,0.5,0.03125
9930.94s,32,444592,-2986,rot_25,6,15.999999,16,0,0.0000000009313226
10000.53s,32,444592,-2986,rot_17,5,15.999999,16,0,0.0000000004656613
10186.75s,32,444592,-2986,rot_1,7,14.119573,12.601566,0.25,0.03125
10916.45s,32,444592,-2986,rot_25,7,15.999999,16,0,0.0000000009313226
11018.54s,32,444592,-2986,rot_1,8,14.291616,13.038514,0.125,0.015625
11257.33s,32,444592,-2986,rot_17,6,15.999999,16,0,0.0000000004656613
11312.30s,32,444592,-2986,rot_2,1,6.407681,4.4212637,9.209401,0.46799088
11888.55s,32,444592,-2986,rot_25,8,15.999999,16,0,0.0000000009313226
12162.97s,32,444592,-2986,rot_2,2,9.84108,7.1858706,5.701172,0.4296875
12182.35s,32,444592,-2986,rot_26,1,6.407681,4.4212637,9.209401,0.46799088
12509.49s,32,444592,-2986,rot_17,7,15.999999,16,0,0.0000000004656613
13022.79s,32,444592,-2986,rot_2,3,12.605767,9.4849825,2,0.1875
13164.56s,32,444592,-2986,rot_26,2,15.134812,13.307956,0.125,0.015625
13766.68s,32,444592,-2986,rot_17,8,15.999999,16,0,0.0000000004656613
13871.80s,32,444592,-2986,rot_2,4,14.58396,11.415037,0.5,0.0625
14060.33s,32,444592,-2986,rot_18,1,6.407681,4.4212637,9.209401,0.46799088
14150.55s,32,444592,-2986,rot_26,3,16,16,-0.000000029802322,0.000000029802322
14726.24s,32,444592,-2986,rot_2,5,15.5435,13.044592,0.125,0.015625
15133.58s,32,444592,-2986,rot_26,4,16,16,0,0
15296.64s,32,444592,-2986,rot_18,2,16,15.999999,-0.0000000045177346,0.00000011920929
15581.40s,32,444592,-2986,rot_2,6,15.893065,14.422066,0.03125,0.00390625
16112.42s,32,444592,-2986,rot_26,5,15.999999,16,0,0.00000000023283064
16448.26s,32,444592,-2986,rot_2,7,15.976383,15.348984,0.0078125,0.001953125
16521.28s,32,444592,-2986,rot_18,3,16,16,0,0
17081.81s,32,444592,-2986,rot_26,6,15.999999,16,0,0.0000000004656613
17311.42s,32,444592,-2986,rot_2,8,15.994188,15.764851,0.001953125,0.00048828125
17600.11s,32,444592,-2986,rot_3,1,6.407681,4.4212637,9.209401,0.46799088
17745.98s,32,444592,-2986,rot_18,4,15.999999,16,0,0.00000000011641532
18071.76s,32,444592,-2986,rot_26,7,15.999999,16,0,0.0000000004656613
18469.02s,32,444592,-2986,rot_3,2,10.609681,7.9312854,4,0.2607422
18979.44s,32,444592,-2986,rot_18,5,15.999999,16,0,0.0000000004656613
19046.83s,32,444592,-2986,rot_26,8,15.999999,16,0,0.0000000004656613
19326.50s,32,444592,-2986,rot_3,3,13.611251,10.656691,1,0.125
19344.51s,32,444592,-2986,rot_27,1,6.407681,4.4212637,9.209401,0.46799088
20187.86s,32,444592,-2986,rot_3,4,15.461006,13.251838,0.125,0.015625
20193.72s,32,444592,-2986,rot_18,6,15.999999,16,0,0.0000000004656613
20279.96s,32,444592,-2986,rot_27,2,14.360135,12.343935,0.25,0.03125
21053.03s,32,444592,-2986,rot_3,5,15.936076,15.105283,0.0078125,0.001953125
21210.60s,32,444592,-2986,rot_27,3,16,16,0.000000014901161,0.000000029802322
21426.17s,32,444592,-2986,rot_18,7,15.999999,16,0,0.0000000004656613
21903.62s,32,444592,-2986,rot_3,6,15.99487,15.8953705,-0.00048828125,0.00024414063
22151.05s,32,444592,-2986,rot_27,4,15.999999,16,0,0.0000000004656613
22671.56s,32,444592,-2986,rot_18,8,15.999999,16,0,0.0000000004656613
22751.73s,32,444592,-2986,rot_3,7,15.999999,15.999932,0.0000019073486,0.0000009536743
22967.82s,32,444592,-2986,rot_19,1,6.407681,4.4212637,9.209401,0.46799088
23104.55s,32,444592,-2986,rot_27,5,15.999999,16,0,0.0000000004656613
23606.09s,32,444592,-2986,rot_3,8,16,16,0,0
23890.81s,32,444592,-2986,rot_4,1,6.407681,4.4212637,9.209401,0.46799088
24049.91s,32,444592,-2986,rot_27,6,15.999999,16,0,0.0000000004656613
24179.43s,32,444592,-2986,rot_19,2,16,15.999999,-0.00000005960411,0.00000011920929
24763.63s,32,444592,-2986,rot_4,2,11.140518,8.384812,3.4721463,0.28125
24994.47s,32,444592,-2986,rot_27,7,15.999999,16,0,0.0000000004656613
25410.12s,32,444592,-2986,rot_19,3,16,16,0,0
